1,STATE ABBREVIATION,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES,
2,AL,,n/a,,,,DISTRICT 1,,,,,,,,,,,
3,AL,01,H2AL01077,(I),Jo,Bonner,"Bonner, Jo",,R,"196,374",97.86%,,,,,W,,
4,AL,01,H2AL01176,,Dean,Young,"Young, Dean",,R,,,,,,,,,
5,AL,01,H2AL01184,,Pete,Riehm,"Riehm, Pete",,R,,,,,,,,,
6,AL,01,H0AL01030,,Peter,Gounares,"Gounares, Peter",,R,,,,,,,,,
7,AL,01,n/a,,,,,Party Votes:,R,,,,,,,,,
8,AL,01,n/a,,,Scattered,Scattered,,W,"4,302",2.14%,,,,,,,
9,AL,01,n/a,,,,,District Votes:,,"200,676",,,,,,,,
10,AL,,n/a,,,,DISTRICT 2,,,,,,,,,,,
11,AL,02,H0AL02087,(I),Martha,Roby,"Roby, Martha",,R,"180,591",63.60%,,,,,W,,
12,AL,02,H2AL02141,,Therese,Ford,"Ford, Therese",,D,"103,092",36.31%,,,,,,,
13,AL,02,n/a,,,Scattered,Scattered,,W,270,0.10%,,,,,,,
14,AL,02,n/a,,,,,District Votes:,,"283,953",,,,,,,,
15,AL,,n/a,,,,DISTRICT 3,,,,,,,,,,,
16,AL,03,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,R,"175,306",64.00%,,,,,W,,
17,AL,03,H2AL03099,,John Andrew,Harris,"Harris, John Andrew",,D,"98,141",35.83%,,,,,,,
18,AL,03,n/a,,,Scattered,Scattered,,W,483,0.18%,,,,,,,
19,AL,03,n/a,,,,,District Votes:,,"273,930",,,,,,,,
20,AL,,n/a,,,,DISTRICT 4,,,,,,,,,,,
21,AL,04,H6AL04098,(I),Robert,Aderholt,"Aderholt, Robert",,R,"199,071",73.97%,,,,,W,,
22,AL,04,H2AL04055,,Daniel H.,Boman,"Boman, Daniel H.",,D,"69,706",25.90%,,,,,,,
23,AL,04,H2AL04063,,Rick,Neighbors,"Neighbors, Rick",,D,,,,,,,,,
24,AL,04,n/a,,,,,Party Votes:,D,,,,,,,,,
25,AL,04,n/a,,,Scattered,Scattered,,W,341,0.13%,,,,,,,
26,AL,04,n/a,,,,,District Votes:,,"269,118",,,,,,,,
27,AL,,n/a,,,,DISTRICT 5,,,,,,,,,,,
28,AL,05,H0AL05163,(I),Mo,Brooks,"Brooks, Mo",,R,"189,185",64.95%,,,,,W,,
29,AL,05,H8AL05109,,Parker,Griffith,"Griffith, Parker",,R,,,,,,,,,
30,AL,05,n/a,,,,,Party Votes:,R,,,,,,,,,
31,AL,05,H2AL05094,,Charlie L.,Holley,"Holley, Charlie L.",,D,"101,772",34.94%,,,,,,,
32,AL,05,n/a,,,Scattered,Scattered,,W,336,0.12%,,,,,,,
33,AL,05,n/a,,,,,District Votes:,,"291,293",,,,,,,,
34,AL,,n/a,,,,DISTRICT 6,,,,,,,,,,,
35,AL,06,H2AL06035,(I),Spencer,Bachus,"Bachus, Spencer",,R,"219,262",71.17%,,,,,W,,
36,AL,06,H2AL06126,,Scott,Beason,"Beason, Scott",,R,,,,,,,,,
37,AL,06,H2AL06100,,David,Standridge,"Standridge, David",,R,,,,,,,,,
38,AL,06,H2AL06134,,Al,Mickle,"Mickle, Al",,R,,,,,,,,,
39,AL,06,n/a,,Stan,Pate,"Pate, Stan  #",,R,,,,,,,,"*  Stan Pate withdrew from the primary election, but his name still appeared on some absentee ballots.",
40,AL,06,n/a,,,,,Party Votes:,R,,,,,,,,,
41,AL,06,H2AL06142,,"Penny ""Colonel""",Bailey,"Bailey, Penny ""Colonel""",,D,"88,267",28.65%,,,,,,,
42,AL,06,H2AL06159,,William,Barnes,"Barnes, William",,D,,,,,,,,,
43,AL,06,n/a,,,,,Party Votes:,D,,,,,,,,,
44,AL,06,n/a,,,Scattered,Scattered,,W,573,0.19%,,,,,,,
45,AL,06,n/a,,,,,District Votes:,,"308,102",,,,,,,,
46,AL,,n/a,,,,DISTRICT 7,,,,,,,,,,,
47,AL,07,H0AL07086,(I),Terri A.,Sewell,"Sewell, Terri A.",,D,"232,520",75.85%,,,,,W,,
48,AL,07,H0AL07177,,Don,Chamberlain,"Chamberlain, Don",,R,"73,835",24.09%,,,,,,,
49,AL,07,H2AL07165,,Phillip,Norris,"Norris, Phillip",,R,,,,,,,,,
50,AL,07,n/a,,,,,Party Votes:,R,,,,,,,,,
51,AL,07,n/a,,,Scattered,Scattered,,W,203,0.07%,,,,,,,
52,AL,07,n/a,,,,,District Votes:,,"306,558",,,,,,,,
53,AL,,n/a,,,,,,,,,,,,,,,
54,AL,H,n/a,,,,,Total State Votes:,,"1,933,630",,,,,,,,
55,,,n/a,,,,,,,,,,,,,,,
56,AK,00,H6AK00045,(I),Don,Young,"Young, Don",,R,"185,296",63.94%,,,,,W,,
57,AK,00,H0AK00097,,John R.,Cox,"Cox, John R.",,R,,,,,,,,,
58,AK,00,H2AK00135,,Terré L.,Gales,"Gales, Terré L.",,R,,,,,,,,,
59,AK,00,n/a,,,,,Party Votes:,R,,,,,,,,,
60,AK,00,H2AK00119,,Sharon M.,Cissna,"Cissna, Sharon M.",,D,"82,927",28.61%,,,,,,,
61,AK,00,H2AK00101,,Matt,Moore,"Moore, Matt",,D,,,,,,,,,
62,AK,00,H2AK00127,,Debra,Chesnut,"Chesnut, Debra",,D,,,,,,,,,
63,AK,00,H4AK00057,,Frank J.,Vondersaar,"Vondersaar, Frank J.",,D,,,,,,,,,
64,AK,00,H2AK00093,,Doug,Urquidi,"Urquidi, Doug",,D,,,,,,,,,
65,AK,00,n/a,,,,,Party Votes:,D,,,,,,,,,
66,AK,00,H2AK00143,,Jim C.,McDermott,"McDermott, Jim C.",,LIB,"15,028",5.19%,,,,,,,
67,AK,00,n/a,,,,,Party Votes:,LIB,,,,,,,,,
68,AK,00,H2AK00176,,Ted,Gianoutsos,"Gianoutsos, Ted",,NAF,"5,589",1.93%,,,,,,,
69,AK,00,n/a,,,Scattered,Scattered,,W,964,0.33%,,,,,,,
70,AK,00,n/a,,,,,District Votes:,,"289,804",,,,,,,,
71,AK,,n/a,,,,,,,,,,,,,,,
72,AK,H,n/a,,,,,Total State Votes:,,"289,804",,,,,,,,
73,,,n/a,,,,,,,,,,,,,,,
74,AS,00,H0AS00018,(I),Eni F.H.,Faleomavaega,"Faleomavaega, Eni F.H.",,D,"7,221",55.22%,,,,,W,,
75,AS,00,H4AS00036,,Aumua,Amata,"Amata, Aumua",,CON,"4,420",33.80%,,,,,,,
76,AS,00,H8AS00052,,Rosie F. Tago,Lancaster,"Lancaster, Rosie F. Tago",,IND,697,5.33%,,,,,,,
77,AS,00,H2AS00055,,"Kereti, Jr.",Mata'utia,"Mata'utia, Kereti, Jr.",,D,438,3.35%,,,,,,,
78,AS,00,H2AS00063,,Fatumalala Leulua'iali'i A.,Al-Sheri,"Al-Sheri, Fatumalala Leulua'iali'i A.",,NPA,300,2.29%,,,,,,,
79,AS,00,n/a,,,,,District Votes:,,"13,076",,,,,,,,
80,AS,,n/a,,,,,,,,,,,,,,,
