STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES,,
AL,Alabama,S,S6AL00195,(I),Jeff,Sessions,"Sessions, Jeff",,R,Unopposed,,,,"795,606",97.25%,,,,,W,,,
AL,Alabama,S,n/a,,,Scattered,Scattered,,W,,,,,"22,484",17.37%,,,,,,,,
AL,Alabama,S,n/a,,,,,Total State Votes:,,,,,,"818,090",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
AK,Alaska,S,S4AK00214 ,,Dan,Sullivan,"Sullivan, Dan",,R,"44,740",40.05%,,,"135,445",47.96%,,,,,W,,,
AK,Alaska,S,S0AK00121,,Joe,Miller,"Miller, Joe",,R,"35,904",32.14%,,,,,,,,,,,,
AK,Alaska,S,S4AK00206 ,,Mead,Treadwell,"Treadwell, Mead",,R,"27,807",24.90%,,,,,,,,,,,,
AK,Alaska,S,S4AK00198 ,,John M.,Jaramillo,"Jaramillo, John M.",,R,"3,246",2.91%,,,,,,,,,,,,
AK,Alaska,S,n/a,,,,,Party Votes:,R,"111,697",,,,,,,,,,,,,
AK,Alaska,S,S8AK00090 ,(I),Mark,Begich,"Begich, Mark",,D,"58,092",96.63%,,,"129,431",45.83%,,,,,,,,
AK,Alaska,S,S4AK00222 ,,"William ""Bill""",Bryk,"Bryk, William ""Bill""",,D,"2,024",3.37%,,,,,,,,,,,,
AK,Alaska,S,n/a,,,,,Party Votes:,D,"60,116",,,,,,,,,,,,,
AK,Alaska,S,S4AK00230,,Mark S.,Fish,"Fish, Mark S. #",,LIB,"1,290",24.85%,,,"10,512",3.72%,,,,,,# Thom Walker withdrew after the primary election and Mark Fish was selected by the party to fill the vacancy on the general election ballot.,,
AK,Alaska,S,S4AK00255,,Thom M.,Walker,"Walker, Thom M. #",,LIB,"3,167",61.01%,,,#,,,,,,,# Thom Walker withdrew after the primary election and Mark Fish was selected by the party to fill the vacancy on the general election ballot.,,
AK,Alaska,S,S4AK00248,,Scott A.,Kohlhaas,"Kohlhaas, Scott A.",,LIB,734,14.14%,,,,,,,,,,,,
AK,Alaska,S,n/a,,,,,Party Votes:,LIB,"5,191",,,,,,,,,,,,,
AK,Alaska,S,S4AK00115,,Ted,Gianoutsos,"Gianoutsos, Ted",,NAF,,,,,"5,636",2.00%,,,,,,,,
AK,Alaska,S,S4AK00271,,Vic,Kohring,"Kohring, Vic ##",,AKI,"2,557",57.77%,,,##,,,,,,,## Vic Kohring withdrew after the primary election,,
AK,Alaska,S,S4AK00263,,Zachary A.,Kile,"Kile, Zachary A.",,AKI,"1,869",42.23%,,,,,,,,,,,,
AK,Alaska,S,n/a,,,,,Party Votes:,AKI,"4,426",,,,,,,,,,,,,
AK,Alaska,S,n/a,,,Scattered,Scattered,,W,,,,,"1,376",0.49%,,,,,,,,
AK,Alaska,S,n/a,,,,,Total State Votes:,,"181,430",,,,"282,400",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
AR,Arkansas,S,S4AR00103 ,,Tom ,Cotton,"Cotton, Tom ",,R,Unopposed,,,,"478,819",56.50%,,,,,W,,,
AR,Arkansas,S,S0AR00028 ,(I),Mark ,Pryor,"Pryor, Mark ",,D,Unopposed,,,,"334,174",39.43%,,,,,,,,
AR,Arkansas,S,S4AR00129,,Nathan ,LaFrance,"LaFrance, Nathan ",,LIB,Unopposed,,,,"17,210",2.03%,,,,,,,,
AR,Arkansas,S,S4AR00111,,Mark H.,Swaney,"Swaney, Mark H.",,GRE,Unopposed,,,,"16,797",1.98%,,,,,,,,
AR,Arkansas,S,S4AR00137,,Scott,Pfleegor,"Pfleegor, Scott",,W,,,,,505,0.06%,,,,,,,,
AR,Arkansas,S,n/a,,,,,Total State Votes:,,,,,,"847,505",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
CO,Colorado,S,S4CO00395,,Cory,Gardner,"Gardner, Cory",,R,"338,324",100.00%,,,"983,891",48.20%,,,,,W,,,
CO,Colorado,S,n/a,,,,,Party Votes:,R,"338,324",,,,,,,,,,,,,
CO,Colorado,S,S8CO00172,(I),Mark,Udall,"Udall, Mark",,D,"213,746",100.00%,,,"944,203",46.26%,,,,,,,,
CO,Colorado,S,n/a,,,,,Party Votes:,D,"213,746",,,,,,,,,,,,,
CO,Colorado,S,S4CO00403,,Gaylon,Kent,"Kent, Gaylon",,LIB,,,,,"52,876",2.59%,,,,,,,,
CO,Colorado,S,S4CO00387,,Steve,Shogan,"Shogan, Steve",,UN,,,,,"29,472",1.44%,,,,,,,,
CO,Colorado,S,S4CO00296,,Raul,Acosta,"Acosta, Raul",,UN,,,,,"24,151",1.18%,,,,,,,,
CO,Colorado,S,S4CO00411,,Bill,Hammons,"Hammons, Bill",,UPC,,,,,"6,427",0.31%,,,,,,,,
CO,Colorado,S,S4CO00429,,,Willoughby,Willoughby,,W,,,,,21,0.00%,,,,,,,,
CO,Colorado,S,S4CO00437,,Kathleen Rosewater,Cunningham,"Cunningham, Kathleen Rosewater",,W,,,,,17,0.00%,,,,,,,,
CO,Colorado,S,n/a,,,,,Total State Votes:,,"552,070",,,,"2,041,058",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
DE,Delaware,S,S0DE00092,(I),Christopher A.,Coons,"Coons, Christopher A.",,D,Unopposed,,,,"130,655",55.83%,,,,,W,,,
DE,Delaware,S,S2DE00064,,Kevin,Wade,"Wade, Kevin",,R,"18,181",75.66%,,,"98,823",42.23%,,,,,,,,
DE,Delaware,S,S4DE00052,,Carl,Smink,"Smink, Carl",,R,"5,848",24.34%,,,,,,,,,,,,
DE,Delaware,S,n/a,,,,,Party Votes:,R,"24,029",,,,,,,,,,,,,
DE,Delaware,S,S2DE00098,,Andrew,Groff,"Groff, Andrew",,GRE,,,,,"4,560",1.95%,,,,,,,,
DE,Delaware,S,n/a,,,,,Total State Votes:,,"24,029",,,,"234,038",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
GA,Georgia,S,S4GA11285,,David Alfred,Perdue,"Perdue, David Alfred",,R,"185,466",30.64%,"245,951",50.88%,"1,358,088",52.89%,,,,,W,,,
GA,Georgia,S,S4GA11210,,"J. H. ""Jack""",Kingston,"Kingston, J. H. ""Jack""",,R,"156,157",25.80%,"237,448",49.12%,,,,,,,,,,
GA,Georgia,S,S4GA11244,,Karen C.,Handel,"Handel, Karen C.",,R,"132,944",21.96%,,,,,,,,,,,,
GA,Georgia,S,S2GA00100,,"J. P. ""Phil""",Gingrey,"Gingrey, J. P. ""Phil""",,R,"60,735",10.03%,,,,,,,,,,,,
GA,Georgia,S,S6GA00101,,Paul Collins,Broun,"Broun, Paul Collins",,R,"58,297",9.63%,,,,,,,,,,,,
GA,Georgia,S,S4GA11236,,Derrick E.,Grayson,"Grayson, Derrick E.",,R,"6,045",1.00%,,,,,,,,,,,,
GA,Georgia,S,S4GA11301,,"Arthur A. ""Art""",Gardner,"Gardner, Arthur A. ""Art""",,R,"5,711",0.94%,,,,,,,,,,,,
GA,Georgia,S,n/a,,,,,Party Votes:,R,"605,355",,"483,399",,,,,,,,,,,
GA,Georgia,S,S4GA11277,,Mary Michelle,Nunn,"Nunn, Mary Michelle",,D,"246,369",74.95%,,,"1,160,811",45.21%,,,,,,,,
GA,Georgia,S,S4GA11293,,"O. ""Steen""",Miles,"Miles, O. ""Steen""",,D,"39,418",11.99%,,,,,,,,,,,,
GA,Georgia,S,S4GA11251,,Todd Anthony,Robinson,"Robinson, Todd Anthony",,D,"31,822",9.68%,,,,,,,,,,,,
GA,Georgia,S,S4GA11228,,"Branko ""Rad""",Radulovacki,"Radulovacki, Branko ""Rad""",,D,"11,101",3.38%,,,,,,,,,,,,
GA,Georgia,S,n/a,,,,,Party Votes:,D,"328,710",,,,,,,,,,,,,
GA,Georgia,S,S4GA11327 ,,Amanda C.,Swafford,"Swafford, Amanda C.",,LIB,,,,,"48,862",1.90%,,,,,,,,
GA,Georgia,S,S4GA11335,,Anantha Reddy,Muscu,"Muscu, Anantha Reddy",,W,,,,,21,0.00%,,,,,,,,
GA,Georgia,S,S4GA11343,,Mary H.,Schroder,"Schroder, Mary H.",,W,,,,,14,0.00%,,,,,,,,
GA,Georgia,S,S0GA00336,,Brian Russell,Brown,"Brown, Brian Russell",,W,,,,,9,0.00%,,,,,,,,
GA,Georgia,S,n/a,,,,,Total State Votes:,,"934,065",,"483,399",,"2,567,805",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
HI,Hawaii,S - Unexpired Term,S4HI00136,(I),Brian,Schatz,"Schatz, Brian",,D,"115,445",49.35%,,,"246,827",69.77%,,,,,W,,,
HI,Hawaii,S - Unexpired Term,S4HI00144,,Colleen Wakako,Hanabusa,"Hanabusa, Colleen Wakako",,D,"113,663",48.58%,,,,,,,,,,,,
HI,Hawaii,S - Unexpired Term,S4HI00078,,Brian,Evans,"Evans, Brian",,D,"4,842",2.07%,,,,,,,,,,,,
HI,Hawaii,S - Unexpired Term,n/a,,,,,Party Votes:,D,"233,950",,,,,,,,,,,,,
HI,Hawaii,S - Unexpired Term,S4HI00102,,Cam,Cavasso,"Cavasso, Cam",,R,"25,874",72.26%,,,"98,006",27.70%,,,,,,,,
HI,Hawaii,S - Unexpired Term,S0HI00183,,John P.,Roco,"Roco, John P.",,R,"4,425",12.36%,,,,,,,,,,,,
HI,Hawaii,S - Unexpired Term,S8HI00111,,"Harry J., Jr.",Friel,"Friel, Harry J., Jr.",,R,"3,477",9.71%,,,,,,,,,,,,
HI,Hawaii,S - Unexpired Term,S6HI00222,,Eddie,Pirkowski,"Pirkowski, Eddie",,R,"2,033",5.68%,,,,,,,,,,,,
HI,Hawaii,S - Unexpired Term,n/a,,,,,Party Votes:,R,"35,809",,,,,,,,,,,,,
HI,Hawaii,S - Unexpired Term,S4HI00169,,Michael,Kokoski,"Kokoski, Michael",,LIB,568,100.00%,,,"8,941",2.53%,,,,,,,,
HI,Hawaii,S - Unexpired Term,n/a,,,,,Party Votes:,LIB,568,,,,,,,,,,,,,
HI,Hawaii,S - Unexpired Term,S4HI00151,,Joy,Allison,"Allison, Joy",,N,388,67.83%,,,,,,,,,,,,
HI,Hawaii,S - Unexpired Term,S0HI00118,,Arturo Pacheco,Reyes,"Reyes, Arturo Pacheco",,N,184,32.17%,,,,,,,,,,,,
HI,Hawaii,S - Unexpired Term,n/a,,,,,Party Votes:,N,572,,,,,,,,,,,,,
HI,Hawaii,S - Unexpired Term,n/a,,,,,Total State Votes (Unexpired Term):,,"270,899",,,,"353,774",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
ID,Idaho,S,S8ID00092 ,(I),Jim,Risch,"Risch, Jim",,R,"119,209",,,,"285,596",65.33%,,,,,W,,,
ID,Idaho,S,S4ID00083,,"Jeremy ""T""",Anderson,"Anderson, Jeremy ""T""",,R,"29,939",,,,,,,,,,,,,
ID,Idaho,S,n/a,,,,,Party Votes:,R,"149,148",,,,,,,,,,,,,
ID,Idaho,S,S4ID00075 ,,Nels,Mitchell,"Mitchell, Nels",,D,"16,908",,,,"151,574",34.67%,,,,,,,,
ID,Idaho,S,S0ID00099,,William ,Bryk,"Bryk, William ",,D,"7,378",,,,,,,,,,,,,
